,sleep_hours,study_hours,social_media_hours,attendance,exam_pressure,family_support,stress_level,study_sleep_ratio,pressure_support_gap,low_sleep,high_pressure,study_pressure,student_type_college,student_type_school,student_type_working_student,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September
0,6.868702389972969,1.71172189529783,3.1769423194871376,81.9415541178291,8.0,7.0,1,0.2175354728727655,1.0,0,1,13.69377516238264,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8.519088215896476,3.251083781151879,3.88078684431769,93.97846477553529,6.0,4.0,1,0.3415331077321782,2.0,0,0,19.506502686911276,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2,4.498770167644885,6.306885352994022,2.9361716604978856,64.42125337473281,7.0,1.0,1,1.1469628954678153,6.0,1,1,44.14819747095815,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,8.59122266146032,2.3849218382541197,5.222831682202401,81.86896045538819,2.0,7.0,0,0.24865670649449834,-5.0,0,0,4.7698436765082395,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4,5.329292606357664,9.345178927014196,7.815869005976595,85.84798211115798,5.0,6.0,1,1.4764965863052573,-1.0,0,0,46.72589463507098,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,4.914848830640115,4.538138319492896,2.141136876828348,85.14409468464662,3.0,5.0,0,0.7672450217128831,-2.0,1,0,13.614414958478688,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,6.621709041712376,5.261762384982284,4.879102366454937,81.9415541178291,4.0,7.0,0,0.6903651603840443,-3.0,0,0,21.047049539929137,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,6.357064560727025,2.8279549581089958,6.198479438647982,74.18034148030989,7.0,8.0,0,0.3843863180438826,-1.0,0,1,19.79568470676297,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,8.085219108735325,5.0437307890881655,4.660604459709954,89.56436691432158,3.0,2.0,0,0.5551578590150545,1.0,0,0,15.131192367264497,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,4.627502422361877,4.743084483455995,5.579822328095165,95.79431515224846,5.0,5.0,0,0.8428400607360931,0.0,1,0,23.715422417279974,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,4.007619870239411,9.734760238681693,5.677249286034405,78.66349135778823,3.0,9.0,0,1.943989458252605,-6.0,1,0,29.204280716045076,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11,5.573535708376856,3.4985815657455857,5.777487460615724,85.47722152771642,5.0,5.0,1,0.5322221892378612,0.0,0,0,17.49290782872793,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12,9.934737321770324,5.784036986905756,5.167116090629148,85.0243778222926,8.0,8.0,1,0.5289598475667201,0.0,0,1,46.272295895246046,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,7.540098802367339,6.814306854133314,0.1928212753409584,77.97435952759467,7.0,6.0,1,0.7979189716451955,1.0,0,1,47.700147978933195,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,6.813604727522755,7.420428153722861,4.221301059667948,83.42805510984012,9.0,5.0,1,0.9496805139867183,4.0,0,1,66.78385338350576,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,6.341331505547025,1.038578111695773,6.496086670779803,82.28843293943567,2.0,2.0,0,0.14146999231829205,0.0,0,0,2.077156223391546,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,6.3963669817443245,7.188367074779284,2.603280805807324,86.70927029794079,1.0,6.0,0,0.9718780980610582,-5.0,0,0,7.188367074779284,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,4.540825628661523,8.848871770968472,1.3105013992862604,69.15808822525972,5.0,6.0,1,1.597031266458761,-1.0,1,0,44.24435885484236,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
18,9.473756404888007,3.235463333019583,3.0490006082980874,81.9415541178291,5.0,3.0,0,0.3089114552549286,2.0,0,0,16.177316665097916,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
19,6.761346773281069,9.09270885722323,4.086536531713566,68.22907089766069,6.0,7.0,0,1.1715375079651715,-1.0,0,0,54.556253143339376,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20,8.9261457844866,2.667914291713002,4.332591241616601,81.98084665205128,8.0,3.0,0,0.26877645660641397,5.0,0,1,21.343314333704015,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
21,4.646379493277875,8.30350242707097,3.0194203446338856,98.49393837740487,1.0,4.0,0,1.470588797114408,-3.0,1,0,8.30350242707097,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,8.408162724481462,4.238800588260328,1.4935892170600504,70.04775533903141,8.0,6.0,0,0.45054499081210914,2.0,0,1,33.91040470608262,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
23,3.682529456770341,2.171596179993906,4.611159668602605,73.90222384621555,6.0,7.0,0,0.4637656207061452,-1.0,1,0,13.029577079963437,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,3.8110629426781326,5.988891444954296,3.7483975993853154,75.12628555197433,4.0,6.0,0,1.244816689432151,-2.0,1,0,23.955565779817185,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,7.321082933003718,1.07429346737757,3.5010568837904823,69.92073363348362,5.0,5.0,0,0.1291050066472267,0.0,0,0,5.37146733688785,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
26,5.716894890305974,5.475361965081284,3.090666015782537,76.42203092543087,3.0,8.0,0,0.8151626688372766,-5.0,0,0,16.42608589524385,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,4.471109175615404,10.282165850310452,5.409925036524243,74.14068992280022,6.0,5.0,1,1.8793567301010563,1.0,1,0,61.692995101862714,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,7.714944483884266,3.45292171723506,0.4714318054187283,76.02021301530925,3.0,8.0,0,0.39620696650681203,-5.0,0,0,10.35876515170518,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
29,8.58692339119707,3.911498461361316,4.025025343417108,95.3994386436698,7.0,5.0,0,0.4080035170566756,2.0,0,1,27.380489229529214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,6.2963628677599095,4.538138319492896,5.100235282521833,90.84185367030206,2.0,8.0,0,0.6219726734734303,-6.0,0,0,9.076276638985792,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
31,8.360889537829557,3.924662484873748,6.412007925999834,80.59893381584921,6.0,8.0,0,0.41926170253513445,-2.0,0,0,23.547974909242487,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
32,8.742968332715298,2.9796784306689656,1.7936700551493414,95.89567095335414,9.0,6.0,0,0.3058286067361721,3.0,0,1,26.81710587602069,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33,5.812594348773563,5.103694065536216,4.09014148853852,75.68118255138917,3.0,6.0,1,0.7491557260348268,-3.0,0,0,15.311082196608648,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,5.865464409673147,2.8958205958447465,2.3733576908279845,67.3399421945948,7.0,7.0,1,0.42179529643539604,0.0,0,1,20.270744170913225,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
35,4.273267070059318,6.062856706210521,3.5010568837904823,95.0188716748374,1.0,10.0,0,1.149734429464867,-9.0,1,0,6.062856706210521,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,6.729379400995861,3.321199367315032,3.5010568837904823,70.5401216374453,3.0,3.0,0,0.42968512671109477,0.0,0,0,9.963598101945097,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
37,5.299253864091883,4.538138319492896,0.1271959201840303,64.70203035395558,6.0,7.0,1,0.7204247387713634,-1.0,0,0,27.228829916957377,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
